from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,Avg(Time TFTF),Avg(Time Djikstra),Avg(Time A*),Avg(Routes TFTF),Avg(Routes Djik ),Avg(Routes A*)
8.50853,124.758,8.50271,124.753,141,71,64,1,1,1,1,1,1,,,,,,
8.48814,124.658,8.47384,124.633,168,169,129,1,1,1,2,6,5,,,,,,
8.48151,124.645,8.48608,124.65,140,74,74,1,1,1,1,1,1,,,,,,
8.47423,124.638,8.45926,124.615,130,219,98,1,1,1,2,1,1,,,,,,
8.47313,124.638,8.49911,124.637,148,284,210,1,1,1,2,3,3,,,,,,
8.47547,124.647,8.47738,124.643,184,92,84,1,1,1,2,1,1,,,,,,
8.509,124.637,8.50216,124.646,156,133,72,1,1,1,2,1,1,,,,,,
8.50455,124.624,8.48498,124.638,190,102,97,1,1,1,2,2,2,,,,,,
8.46269,124.66,8.46235,124.66,131,78,70,1,1,1,1,1,1,,,,,,
8.48156,124.637,8.45445,124.632,150,212,97,1,1,1,2,1,1,,,,,,
8.49525,124.652,8.48463,124.647,146,62,67,1,1,1,2,1,1,,,,,,
8.47808,124.602,8.475,124.597,162,80,70,1,1,1,1,1,1,,,,,,
8.51024,124.635,8.48463,124.647,166,119,99,1,1,1,2,2,4,,,,,,
8.47661,124.638,8.4811,124.638,140,63,71,1,1,1,2,1,1,,,,,,
8.48733,124.63,8.48015,124.638,147,63,72,1,1,1,2,2,2,,,,,,
8.48236,124.635,8.46467,124.625,157,182,97,1,1,1,2,1,1,,,,,,
8.48235,124.666,8.47149,124.699,164,120,74,1,1,1,2,1,1,,,,,,
8.49895,124.645,8.50542,124.647,135,78,71,1,1,1,2,1,1,,,,,,
8.47764,124.601,8.47407,124.614,186,68,69,1,1,1,1,2,2,,,,,,
8.49873,124.642,8.47558,124.65,193,146,95,1,1,1,2,3,4,,,,,,
8.48085,124.658,8.50458,124.624,146,221,81,1,1,1,2,4,6,,,,,,
8.51088,124.637,8.49632,124.641,143,73,70,1,1,1,1,2,2,,,,,,
8.50373,124.606,8.49239,124.604,169,69,70,1,1,1,1,1,1,,,,,,
8.49454,124.656,8.50399,124.663,143,69,61,1,1,1,2,1,1,,,,,,
8.47938,124.589,8.47986,124.6,136,65,60,1,1,1,1,1,1,,,,,,
8.47278,124.63,8.45755,124.625,161,94,64,1,1,1,2,1,1,,,,,,
8.47413,124.598,8.4763,124.583,139,75,65,1,1,1,2,1,1,,,,,,
8.4349,124.641,8.44472,124.645,135,65,69,1,1,1,1,1,1,,,,,,
8.38855,124.558,8.40149,124.586,135,64,66,1,1,1,1,2,2,,,,,,
8.50059,124.756,8.48733,124.744,133,62,68,1,1,1,1,2,2,,,,,,
8.46968,124.704,8.47564,124.717,160,62,58,1,1,1,1,1,1,,,,,,
8.47549,124.665,8.47663,124.645,145,68,61,1,1,1,2,3,3,,,,,,
8.49309,124.632,8.50437,124.625,146,64,60,1,1,1,2,1,1,,,,,,
8.37824,124.563,8.38968,124.558,135,58,58,1,1,1,1,1,1,,,,,,
8.46171,124.66,8.4646,124.659,127,59,56,1,1,1,1,1,1,,,,,,
8.47753,124.638,8.47661,124.638,151,64,61,1,1,1,2,1,1,,,,,,
8.43269,124.617,8.47291,124.637,160,96,89,1,1,1,1,5,4,,,,,,
8.49263,124.633,8.50437,124.62,148,77,70,1,1,1,2,1,1,,,,,,
8.50231,124.645,8.50202,124.661,150,96,80,1,1,1,2,1,1,,,,,,
8.47174,124.646,8.47294,124.636,158,91,67,1,1,1,2,1,1,,,,,,
8.4702,124.707,8.47448,124.681,149,63,61,1,1,1,1,1,1,,,,,,
8.45865,124.644,8.44234,124.656,133,64,61,1,1,1,2,1,1,,,,,,
8.38348,124.56,8.39669,124.559,166,90,142,1,1,1,1,1,1,,,,,,
8.49751,124.658,8.50303,124.641,180,90,79,1,1,1,2,2,2,,,,,,
8.40081,124.564,8.40215,124.573,195,67,66,1,1,1,1,1,1,,,,,,
8.50715,124.654,8.47306,124.635,152,171,110,1,1,1,2,7,3,,,,,,
8.4887,124.629,8.49156,124.628,154,70,74,1,1,1,2,1,1,,,,,,
8.51099,124.637,8.48214,124.63,173,171,115,1,1,1,2,4,4,,,,,,
8.4345,124.619,8.37467,124.611,183,165,68,1,1,1,2,1,1,,,,,,
8.4738,124.694,8.47936,124.647,169,104,80,1,1,1,2,3,2,,,,,,
8.50801,124.637,8.49383,124.641,140,76,74,1,1,1,1,2,2,,,,,,
8.49663,124.747,8.47479,124.692,154,73,66,1,1,1,2,2,2,,,,,,
8.47728,124.65,8.4813,124.645,143,66,65,1,1,1,2,1,1,,,,,,
8.44698,124.631,8.44573,124.632,136,62,59,1,1,1,2,1,1,,,,,,
8.47213,124.629,8.42446,124.61,182,254,79,1,1,1,2,1,1,,,,,,
8.51003,124.637,8.47384,124.633,151,160,112,1,1,1,2,3,2,,,,,,
8.45099,124.648,8.46409,124.644,140,60,62,1,1,1,1,1,1,,,,,,
8.42901,124.639,8.42514,124.638,140,67,58,1,1,1,2,1,1,,,,,,
8.4958,124.641,8.47831,124.656,145,143,82,1,1,1,2,3,3,,,,,,
8.47331,124.634,8.47315,124.634,141,61,60,1,1,1,1,1,1,,,,,,
8.49044,124.635,8.48614,124.65,154,71,66,1,1,1,1,2,1,,,,,,
8.46645,124.607,8.47558,124.65,155,135,116,1,1,1,2,8,8,,,,,,
8.46042,124.626,8.4268,124.611,162,145,63,1,1,1,2,1,1,,,,,,
8.50132,124.663,8.49863,124.65,141,77,71,1,1,1,2,2,1,,,,,,
8.47142,124.699,8.47799,124.646,178,89,67,1,1,1,2,2,3,,,,,,
8.472,124.639,8.48612,124.65,166,146,94,1,1,1,2,3,2,,,,,,
8.47205,124.639,8.47392,124.645,167,72,69,1,1,1,2,1,1,,,,,,
8.42762,124.612,8.44677,124.642,139,105,77,1,1,1,1,1,1,,,,,,
8.4513,124.623,8.40088,124.61,157,202,63,1,1,1,2,1,1,,,,,,
