from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,,,,,,,,
8.47704,124.651,8.4921,124.651,117,68,55,1,1,1,2,1,1,,,,,,,,
8.50327,124.627,8.48944,124.603,120,125,63,1,1,1,2,1,1,,,,,,,,
8.47392,124.645,8.47719,124.629,144,82,52,1,1,1,2,1,1,,,,,,,,
8.51248,124.629,8.48741,124.63,112,79,65,1,1,1,1,1,2,,,,,,,,
8.43078,124.617,8.42438,124.61,129,50,49,1,1,1,2,1,1,,,,,,,,
8.48214,124.63,8.47466,124.597,136,158,77,1,1,1,2,1,1,,,,,,,,
8.45504,124.624,8.45622,124.624,115,44,44,1,1,1,1,1,1,,,,,,,,
8.48761,124.63,8.49668,124.617,117,65,48,1,1,1,2,1,1,,,,,,,,
8.47331,124.634,8.47284,124.638,114,47,48,1,1,1,1,1,1,,,,,,,,
8.47472,124.625,8.47865,124.627,139,47,47,1,1,1,2,1,1,,,,,,,,
8.48236,124.657,8.48066,124.637,156,72,65,1,1,1,2,3,2,,,,,,,,
8.49619,124.635,8.50125,124.635,99,44,45,1,1,1,2,1,1,,,,,,,,
8.50099,124.593,8.49927,124.593,98,44,45,1,1,1,2,1,1,,,,,,,,
8.491,124.634,8.48525,124.654,118,63,51,1,1,1,1,1,1,,,,,,,,
8.50321,124.636,8.47832,124.647,112,87,59,1,1,1,2,5,2,,,,,,,,
8.45162,124.583,8.49513,124.612,119,66,54,1,1,1,2,1,1,,,,,,,,
8.49056,124.635,8.48891,124.64,118,47,47,1,1,1,2,1,1,,,,,,,,
8.5045,124.62,8.50434,124.616,116,46,46,1,1,1,1,1,1,,,,,,,,
8.49758,124.631,8.49827,124.631,111,49,48,1,1,1,1,1,1,,,,,,,,
8.47299,124.63,8.46891,124.628,128,49,50,1,1,1,2,1,1,,,,,,,,
8.50188,124.633,8.48432,124.658,110,103,58,1,1,1,1,4,2,,,,,,,,
8.50117,124.593,8.50017,124.593,100,48,45,1,1,1,2,1,1,,,,,,,,
8.40956,124.612,8.35935,124.604,136,63,51,1,1,1,2,1,1,,,,,,,,
8.47352,124.608,8.47239,124.573,107,112,60,1,1,1,2,1,1,,,,,,,,
8.48577,124.636,8.50437,124.62,111,99,49,1,1,1,2,1,1,,,,,,,,
8.49265,124.633,8.49088,124.634,116,45,45,1,1,1,1,1,1,,,,,,,,
8.49703,124.619,8.47933,124.638,99,59,52,1,1,1,2,2,2,,,,,,,,
8.47336,124.607,8.47608,124.63,128,62,65,1,1,1,1,2,2,,,,,,,,
8.44722,124.631,8.46448,124.632,100,46,47,1,1,1,1,1,1,,,,,,,,
8.50835,124.637,8.51099,124.637,113,45,46,1,1,1,2,1,1,,,,,,,,
8.46995,124.606,8.47099,124.642,121,83,75,1,1,1,2,7,5,,,,,,,,
8.45664,124.625,8.37821,124.61,130,226,57,1,1,1,2,1,1,,,,,,,,
8.4862,124.648,8.50368,124.626,121,110,54,1,1,1,2,1,2,,,,,,,,
8.48315,124.638,8.4991,124.624,110,105,54,1,1,1,2,1,1,,,,,,,,
8.50565,124.638,8.47301,124.635,114,98,62,1,1,1,2,3,4,,,,,,,,
8.49904,124.649,8.51251,124.615,112,110,50,1,1,1,2,1,1,,,,,,,,
8.48693,124.659,8.49194,124.653,109,46,45,1,1,1,2,2,1,,,,,,,,
8.48209,124.644,8.48487,124.655,108,56,46,1,1,1,1,1,1,,,,,,,,
8.47105,124.643,8.47099,124.642,115,51,50,1,1,1,2,1,1,,,,,,,,
8.49333,124.652,8.48303,124.658,111,52,50,1,1,1,2,3,3,,,,,,,,
8.47694,124.651,8.48764,124.66,115,61,53,1,1,1,1,1,1,,,,,,,,
8.47738,124.643,8.47695,124.651,111,51,47,1,1,1,1,2,1,,,,,,,,
8.48725,124.639,8.4888,124.66,117,106,59,1,1,1,2,2,1,,,,,,,,
8.47288,124.638,8.47507,124.631,129,54,50,1,1,1,2,1,1,,,,,,,,
8.47318,124.634,8.47254,124.626,120,73,66,1,1,1,2,1,2,,,,,,,,
8.44433,124.636,8.4621,124.632,107,46,46,1,1,1,1,1,1,,,,,,,,
8.30132,124.579,8.37346,124.611,137,49,45,1,1,1,2,1,1,,,,,,,,
8.48324,124.638,8.48478,124.638,108,47,47,1,1,1,1,1,1,,,,,,,,
