from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,Avg(Time TFTF),Avg(Time Djikstra),Avg(Time A*),Avg(Routes TFTF),Avg(Routes Djik ),Avg(Routes A*)
8.47032,124.707,8.50737,124.769,39,51,23,1,1,1,2,1,1,,,,,,
8.50411,124.659,8.47993,124.647,33,20,20,1,1,1,1,1,1,,,,,,
8.49947,124.663,8.47661,124.646,42,25,16,1,1,1,2,1,1,,,,,,
8.49925,124.663,8.51273,124.628,31,30,22,1,1,1,1,1,1,,,,,,
8.49836,124.755,8.46245,124.788,32,23,15,1,1,1,1,1,1,,,,,,
8.46965,124.704,8.48166,124.728,46,18,15,1,1,1,2,1,1,,,,,,
8.44919,124.649,8.44981,124.649,31,10,12,1,1,1,1,1,1,,,,,,
8.50314,124.664,8.48631,124.639,35,30,24,1,1,1,2,2,2,,,,,,
8.47645,124.678,8.46996,124.706,45,20,17,1,1,1,2,1,1,,,,,,
8.48913,124.739,8.47659,124.719,48,17,13,1,1,1,1,1,1,,,,,,
8.48322,124.663,8.4707,124.709,44,36,17,1,1,1,2,1,1,,,,,,
8.48608,124.65,8.48587,124.648,40,11,12,1,1,1,1,1,1,,,,,,
8.48364,124.758,8.50045,124.754,38,17,14,1,1,1,1,1,1,,,,,,
8.4614,124.71,8.48167,124.668,30,17,16,1,1,1,1,2,1,,,,,,
8.49298,124.652,8.48822,124.642,34,17,14,1,1,1,1,2,2,,,,,,
8.47638,124.657,8.47627,124.66,44,11,12,1,1,1,1,1,1,,,,,,
8.48868,124.641,8.4942,124.652,35,12,12,1,1,1,2,1,1,,,,,,
8.47671,124.654,8.47636,124.659,44,12,11,1,1,1,2,1,1,,,,,,
8.45587,124.645,8.47384,124.652,36,16,15,1,1,1,1,1,1,,,,,,
8.4626,124.644,8.44744,124.648,33,13,12,1,1,1,2,1,1,,,,,,
8.46824,124.659,8.45999,124.66,26,12,12,1,1,1,1,1,1,,,,,,
8.49947,124.663,8.47703,124.646,41,25,16,1,1,1,2,1,1,,,,,,
8.50292,124.643,8.49765,124.659,32,12,13,1,1,1,2,1,1,,,,,,
8.47863,124.654,8.5041,124.659,44,35,23,1,1,1,1,1,1,,,,,,
8.49947,124.749,8.47944,124.725,48,18,15,1,1,1,1,1,1,,,,,,
8.44901,124.649,8.43811,124.643,29,14,13,1,1,1,2,1,1,,,,,,
8.47487,124.692,8.4586,124.717,33,21,17,1,1,1,2,1,1,,,,,,
8.50178,124.662,8.49663,124.656,35,15,14,1,1,1,1,1,1,,,,,,
8.47743,124.677,8.46883,124.706,44,17,14,1,1,1,2,1,1,,,,,,
8.45902,124.659,8.45925,124.66,26,11,12,1,1,1,1,1,1,,,,,,
8.47807,124.646,8.48358,124.645,36,14,13,1,1,1,1,1,1,,,,,,
8.47636,124.659,8.49307,124.743,54,59,17,1,1,1,2,1,1,,,,,,
8.47554,124.671,8.47311,124.682,37,11,13,1,1,1,1,1,1,,,,,,
8.46334,124.789,8.49737,124.748,38,16,18,1,1,1,2,3,2,,,,,,
8.50762,124.77,8.50795,124.764,36,12,12,1,1,1,1,1,1,,,,,,
8.49001,124.657,8.47819,124.642,37,19,15,1,1,1,1,2,2,,,,,,
8.48402,124.657,8.47982,124.656,31,13,12,1,1,1,2,1,1,,,,,,
8.47827,124.655,8.49631,124.661,40,25,16,1,1,1,2,1,1,,,,,,
8.47754,124.649,8.48618,124.65,35,15,14,1,1,1,1,1,1,,,,,,
8.50968,124.636,8.49709,124.657,31,14,13,1,1,1,2,1,1,,,,,,
8.47395,124.682,8.47506,124.669,38,15,15,1,1,1,1,1,1,,,,,,
8.50246,124.664,8.47865,124.644,39,23,20,1,1,1,2,1,2,,,,,,
8.50164,124.647,8.49837,124.65,30,11,12,1,1,1,2,1,1,,,,,,
8.50203,124.664,8.48999,124.652,35,18,16,1,1,1,2,1,1,,,,,,
8.47451,124.686,8.48177,124.668,47,15,12,1,1,1,1,1,1,,,,,,
8.49651,124.747,8.49786,124.755,39,16,14,1,1,1,1,2,3,,,,,,
8.48095,124.629,8.48748,124.639,29,12,12,1,1,1,2,1,1,,,,,,
8.47646,124.68,8.47734,124.677,40,10,12,1,1,1,1,1,1,,,,,,
8.49824,124.661,8.49824,124.661,34,10,12,1,1,1,1,1,1,,,,,,
8.4774,124.646,8.47881,124.645,35,11,12,1,1,1,2,1,1,,,,,,
8.45917,124.713,8.48405,124.659,31,19,18,1,1,1,2,2,2,,,,,,
8.47553,124.667,8.47151,124.68,32,11,13,1,1,1,2,1,1,,,,,,
8.5045,124.754,8.50771,124.763,35,12,12,1,1,1,2,1,1,,,,,,
8.47624,124.66,8.47638,124.661,43,12,12,1,1,1,1,1,1,,,,,,
8.47552,124.672,8.47321,124.682,38,11,11,1,1,1,1,1,1,,,,,,
8.47645,124.678,8.47026,124.702,45,15,13,1,1,1,2,1,1,,,,,,
8.4747,124.692,8.47789,124.646,42,28,19,1,1,1,2,2,2,,,,,,
8.48598,124.65,8.48913,124.652,34,11,12,1,1,1,2,1,1,,,,,,
8.47799,124.649,8.49359,124.655,37,22,17,1,1,1,1,1,1,,,,,,
8.47471,124.692,8.47393,124.714,47,18,11,1,1,1,2,1,1,,,,,,
8.50189,124.647,8.50892,124.636,27,14,13,1,1,1,1,1,1,,,,,,
8.47318,124.634,8.47395,124.633,28,9,10,1,1,1,1,1,1,,,,,,
8.49375,124.758,8.48571,124.754,32,15,19,1,1,1,1,2,2,,,,,,
8.44975,124.649,8.47407,124.645,39,16,14,1,1,1,1,1,1,,,,,,
8.49814,124.661,8.47817,124.646,42,25,17,1,1,1,2,1,1,,,,,,
8.48301,124.664,8.48423,124.658,39,13,15,1,1,1,1,1,1,,,,,,
8.44786,124.649,8.45021,124.649,33,11,11,1,1,1,1,1,1,,,,,,
8.50311,124.64,8.49576,124.654,31,11,11,1,1,1,2,1,1,,,,,,
8.47464,124.676,8.47829,124.722,38,30,12,1,1,1,2,1,1,,,,,,
8.48485,124.656,8.48297,124.644,41,8,12,1,1,1,1,3,2,,,,,,
8.47963,124.638,8.48015,124.629,29,15,11,1,1,1,1,1,1,,,,,,
8.45995,124.712,8.46839,124.706,29,10,14,1,1,1,1,1,1,,,,,,
8.50432,124.659,8.50288,124.643,32,14,17,1,1,1,1,1,1,,,,,,
8.47704,124.651,8.47827,124.656,39,14,10,1,1,1,2,1,1,,,,,,
